year,month,day,hour,pm2.5,DEWP,TEMP,PRES,cbwd,Iws,Is,Ir
2010,7,11,6,133.61263,19.0,20.0,1005.0,SE,47.82633,0.0,0.0
2012,7,26,10,60.0,24.715982,25.0,1005.0,SE,15.2,0.0,2.0
2013,2,3,17,85.0,-8.0,-2.0,1024.0,SE,15.200901,0.0,0.0
2011,2,1,14,55.0,-19.0,14.0,1015.0,NW,54.93247,0.0,0.0
2010,11,7,0,346.67862,1.0,5.0,1012.0,NW,19.22634,0.0,0.0
2013,1,6,4,156.52466,-11.0,-4.0,1027.0,SE,1.79,0.0,0.0
2013,8,24,23,97.0,21.0,28.0,1005.0,SE,4.02,0.0,0.0
2014,11,13,7,181.92444,-1.0,4.0,1017.0,NW,5.81,0.0,0.0
2011,8,5,21,91.0,22.0,26.074049,1008.0,SE,30.848661,0.0,0.0
2010,10,24,11,23.0,-3.0,15.0,1026.0,NW,26.720497,0.0,0.0
2011,9,7,20,25.950123,2.0,18.0,1016.0,NW,32.625427,0.0,0.0
2011,12,19,21,199.0,-13.0,-3.4352946,1027.0,SE,0.89,0.0,0.0
2012,9,6,5,59.0,13.0,15.0,1016.0,NW,28.16,0.0,0.0
2014,8,5,19,6.6414514,16.0,23.0,1008.0,NW,3.13,0.0,0.0
2014,3,25,1,269.40656,2.0,9.0,1013.0,NE,1.79,0.0,0.0
2010,10,15,13,390.3129,13.0,15.178069,1015.0,NE,2.67,0.0,0.0
2010,4,18,1,180.0,1.0,8.0,1017.0,cv,0.45,0.0,0.0
2013,12,21,1,193.79054,-15.0,-7.0,1034.0,cv,0.89,0.0,0.0
2012,2,13,12,177.0,-11.0,4.0,1024.0,NE,4.92,0.0,0.0
2013,1,9,0,144.0,-14.0,-9.0821085,1030.0,NW,5.37,0.0,0.0
2014,8,14,12,8.0,14.0,28.0,1006.0,cv,4.4633036,0.0,0.0
2014,3,14,19,16.0,-25.0,6.0,1025.0,NW,73.140434,0.0,0.0
2010,8,4,5,55.0,19.0,21.0,1002.0,NW,8.5,0.0,0.0
2010,2,12,18,8.0,-22.0,-5.949647,1031.0,NW,23.233315,0.0,0.0
2012,10,16,1,12.0,-5.0,12.0,1017.0,NW,81.2095,0.0,0.0
2011,12,8,20,13.0,-16.0,-1.0,1034.0,NW,140.22844,0.0,0.0
2010,1,17,7,56.0,-20.0,-12.0,1029.0,NW,39.281208,0.0,0.0
2014,10,27,5,57.0,-3.0,1.0,1029.0,cv,1.79,0.0,0.0
2012,12,5,11,210.00526,-4.0,-1.0,1026.0,cv,0.89,0.0,0.0
2012,9,21,0,213.4378,18.0,21.0,1010.0,SE,1.79,0.0,0.0
2012,5,10,13,97.0,8.0,24.0,1010.0,NW,1.79,0.0,0.0
