LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default payment next month
20000.0,1,2,2,24.0,0,0,2,2,0,0,17530.518,17003.87,19442.246,20177.312,20260.182,25487.613,3000.0,830.1683,0.0,1023.5356,2305.7512,0.0,1
80000.0,2,3,2,45.0,0,0,0,0,0,0,107340.6,134001.5,96729.98,2573.23,9159.519,14488.184,5000.0,3016.8237,1000.0,428.80692,780.0,1075.2397,0
200000.0,1,1,2,29.0,-2,-2,-2,-2,-2,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
290000.0,1,2,1,43.0,2,3,2,2,2,2,263196.7,243832.17,236646.2,233746.9,245299.31,227571.25,0.0,9679.862,0.0,15983.556,6076.07,10000.0,1
210000.0,2,1,2,26.0,0,0,0,0,0,0,235387.06,235455.58,237270.44,219550.33,225714.66,200379.23,9135.071,10000.0,5933.9062,7519.1157,7205.9253,8841.416,0
50000.0,2,2,2,32.0,1,2,2,2,2,2,46381.758,47771.31,49288.86,48558.45,50643.004,50381.473,0.0,4295.4863,3000.0,4000.0,2000.0,0.0,0
390000.0,2,2,1,29.0,0,0,0,0,-1,0,167403.61,160796.27,155871.33,93479.39,122517.14,115863.84,8073.718,6771.1226,6000.0,77058.59,6256.934,5000.0,0
20000.0,2,3,2,53.0,0,0,0,0,0,0,19790.031,20365.684,21437.842,14479.895,13003.255,15502.846,1506.6471,1639.2721,493.21893,723.568,171.08475,4424.8613,0
50000.0,2,1,2,34.0,0,0,0,0,0,0,30794.396,38145.12,35862.605,22815.92,22729.182,20299.404,2843.0723,2298.9265,1362.8274,2711.0967,1000.0,1500.0,0
180000.0,2,3,1,51.0,-1,-1,-1,0,0,0,702.4439,493.88986,80951.74,83955.11,48710.457,116230.66,1142.0924,83167.6,3620.962,0.0,24949.05,10000.0,0
200000.0,1,1,1,33.0,1,-1,-1,-2,-1,-1,194.14389,0.0,293.15457,-196.13309,2374.399,544.2826,0.0,390.0,0.0,2300.0,383.01758,138.68199,1
100000.0,2,1,2,31.0,0,0,0,0,0,-1,26220.932,20945.795,28803.887,29182.182,18716.098,38443.426,1504.2303,4000.0,2308.009,5381.958,31012.293,1700.0,0
210000.0,1,1,2,46.0,-1,-1,-2,-2,-2,-2,5195.7534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
50000.0,2,3,2,23.0,0,0,0,0,0,0,37013.973,34514.824,30679.969,34368.93,34214.652,0.0,1533.156,2000.0,666.8455,0.0,0.0,0.0,0
400000.0,2,3,1,35.0,0,0,0,0,0,0,409923.6,375435.25,351332.28,290590.34,290806.62,278025.5,18877.596,13011.042,13994.776,19486.11,10555.642,11084.193,0
240000.0,2,1,1,34.0,-1,-1,-1,-1,-1,-1,17163.463,16183.18,2225.4531,2934.3057,2973.795,10560.173,12027.638,3000.0,3106.1375,2796.8171,10000.0,11828.12,1
230000.0,2,2,1,33.0,-2,-2,-2,-2,-2,-2,28791.326,23984.457,1209.4827,50848.555,25164.865,19329.754,9636.6875,780.0,51398.043,13051.242,33180.94,23260.582,0
50000.0,2,2,1,29.0,2,2,2,2,2,2,24047.514,18551.758,23328.145,21508.453,22707.604,21923.81,0.0,3000.4084,0.0,1463.0737,0.0,1189.5017,1
60000.0,1,2,2,23.0,0,0,0,-1,0,0,11979.326,14489.889,0.0,1041.3499,619.49225,0.0,1600.0,593.6174,2302.786,0.0,1000.0,800.0,0
240000.0,1,2,1,44.0,2,2,2,2,2,0,61717.6,71533.66,70420.09,69640.06,67470.68,68077.34,6000.0,1169.9077,3100.4114,0.0,2300.0,2709.2883,1
160000.0,2,3,2,43.77091,0,0,0,0,0,0,160620.98,161632.55,166753.34,169901.92,162739.08,144826.3,7000.0,6500.0,8000.0,7000.0,6173.683,7144.1714,0
470000.0,2,1,1,34.0,0,0,0,0,2,-1,58880.035,14659.272,3185.2424,1670.1237,-299.89645,33806.7,5368.2744,4596.1313,1000.0,0.0,37647.293,7048.681,0
20000.0,1,1,2,32.0,0,0,0,0,0,0,13125.718,13354.036,15419.138,14805.123,14901.546,5506.8403,1306.3507,1099.3191,1317.1049,1050.192,397.42484,0.0,0
370000.0,1,1,2,37.0,-1,-1,-1,-1,-1,-1,6213.9,10425.899,16640.902,8609.242,9390.219,6608.19,8384.866,17355.242,7000.0,7500.0,5042.804,2000.0,0
140000.0,2,2,2,30.0,0,0,0,-2,-2,-2,7855.087,4365.5005,937.4686,0.0,2008.2856,4066.102,1125.7524,1029.051,1400.0,2000.0,7837.7607,3104.9014,0
120000.0,2,2,1,30.0,0,0,0,0,0,2,67330.97,68647.26,70629.47,69168.23,72519.21,78120.586,3500.0,5046.7515,5500.0,5008.7925,7514.7754,0.0,0
240000.0,2,2,2,29.0,-2,-2,-1,-1,-2,-2,0.0,-1859.9437,52318.867,0.0,0.0,0.0,0.0,74521.984,0.0,0.0,0.0,1000.0,0
170000.0,1,2,1,34.0,2,0,0,0,2,0,135400.25,123555.875,117639.74,114798.34,109571.75,98010.9,6074.3555,5000.0,10000.0,2964.029,4000.0,3601.6577,1
140000.0,2,3,2,28.0,-1,-1,-1,-1,-1,-1,390.0,762.3456,390.0,239.48965,299.30075,390.0,390.0,695.5505,390.0,108.47769,260.59656,390.0,1
140000.0,2,2,2,28.0,0,0,0,0,0,0,21367.564,25247.086,26518.809,26818.81,27349.064,26167.818,1958.5798,1800.0,1078.7068,1000.0,855.6149,815.33093,0
50000.0,2,2,3,53.0,0,0,0,0,0,2,17141.514,13266.376,9819.998,10995.979,11265.264,13052.619,1445.365,1206.5248,1764.7295,3679.4978,0.0,801.36456,0
260000.0,1,1,1,45.0,-1,-1,-1,-1,-1,-1,20501.195,15238.991,20059.252,15879.108,20028.62,15581.402,14184.18,22179.637,17539.736,21554.414,14203.962,6105.3154,0
110000.0,2,2,2,29.0,-2,2,0,-1,0,-1,20230.27,392.24152,2043.8909,736.20306,583.2874,2083.074,0.0,1301.952,973.88904,0.0,2071.4033,0.0,0
200000.0,2,1,1,39.0,1,-2,-2,-2,-2,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
170000.0,2,1,1,44.0,-1,-1,-1,-1,-1,-1,3323.056,1168.1045,4713.785,3737.1687,397.9871,414.07037,1286.5963,5000.0,4500.0,500.0,490.14883,4000.0,0
210000.0,2,2,1,32.0,-1,-1,0,0,0,0,390.0,25573.479,26721.39,29306.39,20092.328,146.00441,25443.703,2892.3452,1131.616,3030.3938,0.0,4782.8135,0
160000.0,2,1,1,53.0,2,2,2,2,2,2,167568.8,169079.53,176462.6,203799.47,176152.02,191316.0,0.0,13915.822,5000.0,0.0,13711.652,5383.675,0
60000.0,2,2,2,21.433151,0,0,0,0,0,0,56271.73,53443.816,49376.766,49605.7,54605.79,48115.055,2057.1218,2603.4688,2600.0,2010.0247,2405.4958,2695.6963,0
80000.0,2,1,1,25.0,1,2,0,0,0,0,50150.098,49003.23,47914.594,52149.043,54116.93,53306.125,0.0,2353.5437,3011.841,2500.0,3000.0,4000.0,1
210000.0,2,1,2,28.0,1,-2,-2,-2,-2,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
160000.0,2,1,2,31.0,-1,-1,-1,-1,0,-1,782.5954,360.55725,390.0,3560.474,1647.9012,1914.8864,258.93243,299.23013,3234.0723,0.0,2100.158,0.0,0
400000.0,2,1,2,32.0,-1,-1,-1,-1,-1,-1,19970.707,-936.2774,6850.0317,3816.2964,7954.955,1025.7234,0.0,10016.232,3564.4053,7728.888,1066.4106,4897.572,0
140000.0,2,3,2,34.0,0,0,0,0,0,0,71735.82,78868.67,74802.64,78111.86,77578.305,77703.695,3000.0,2500.1445,2600.0,3037.3948,3244.442,3200.0,0
180000.0,1,2,2,36.0,-2,-1,-1,-1,0,-1,47863.414,887.0417,1600.1464,5967.181,1257.405,525.85645,2000.0,1734.673,5828.3726,0.0,698.78455,2000.0,0
50000.0,2,2,2,23.0,0,0,2,0,0,0,46263.586,45911.734,44385.547,43306.25,48079.027,50108.723,3917.33,0.0,1721.2142,1283.8508,1500.0,2000.0,0
50000.0,1,2,1,34.0,0,0,0,0,2,0,23718.09,19428.693,12859.812,12557.19,9545.115,9653.212,2000.0,1600.0,2000.0,0.0,410.49313,1000.0,0
50000.0,2,2,3,45.0,2,0,0,0,0,0,36332.93,40034.113,33398.395,30348.146,30260.086,36940.78,2105.8313,1681.4403,1595.6997,1535.6411,2000.0,5878.8716,1
20000.0,1,2,2,37.0,2,0,0,0,0,0,18844.658,17416.793,19028.357,17334.69,17077.451,18306.832,1274.8884,1301.1606,1204.1583,500.0,600.0,792.1058,1
160000.0,2,3,1,28.0,0,0,0,0,0,0,138153.36,150080.03,147885.33,149171.06,138919.77,134817.44,9462.212,6305.575,4722.042,4541.6763,5000.0,4000.0,0
470000.0,2,1,2,34.0,0,0,0,0,0,0,20391.73,32181.73,41796.086,29795.307,27959.945,16276.743,11275.473,29341.637,278.15396,1020.611,2475.8564,2061.0378,0
50000.0,2,2,2,26.172827,0,0,0,0,0,0,28359.74,30536.814,30954.46,31115.604,29522.629,34743.043,1586.9713,1503.1102,1224.559,1000.0,1017.64703,1000.0,0
30000.0,2,2,2,25.0,0,0,0,0,0,0,29692.914,23638.516,21108.186,19787.256,19670.025,19672.746,1550.7605,1400.0,1099.4027,946.6756,1576.9307,1192.496,0
250000.0,2,3,1,57.0,2,0,0,0,0,0,179820.75,159584.8,111977.77,99702.0,101643.35,96091.125,4896.923,3500.0,3109.7627,3000.0,3622.888,2500.0,0
30000.0,1,2,2,22.0,0,0,0,0,0,0,26933.83,30408.46,31835.344,30232.62,34904.14,39840.383,1434.1558,1501.49,1500.0,2600.0,2000.0,1739.4255,1
30000.0,1,3,1,44.0,0,0,2,0,0,0,28369.88,32143.342,32384.209,32176.965,34885.91,32974.164,4000.0,1000.0,1686.0396,1052.7385,1037.0948,534.30237,0
50000.0,2,3,2,29.0,0,0,-1,0,-1,-1,4757.9346,0.0,2544.5642,2700.1208,780.0,1633.3663,763.75714,3135.5454,269.01968,674.57654,1432.7853,1000.0,0
450000.0,1,1,2,35.0,-1,-1,-2,-1,-1,0,763.18365,0.0,0.0,4624.2866,0.0,16911.307,0.0,0.0,4098.5503,2647.8472,15149.725,1000.0,0
220000.0,2,1,1,45.0,1,-2,-2,-2,-2,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
30000.0,2,2,2,21.64406,-1,-1,0,0,0,0,1525.0405,10040.996,18334.303,17413.434,6409.411,0.0,5131.036,5349.574,1711.8605,219.36876,0.0,0.0,0
500000.0,2,1,2,37.0,-1,-1,-1,0,0,-1,2798.446,1859.6288,63731.555,96769.164,49226.28,9863.725,1795.2994,51102.9,12006.232,2601.063,7022.3906,5401.2114,0
120000.0,2,2,1,41.0,0,0,0,0,0,0,98085.56,57178.715,37235.37,66128.86,77446.92,75550.77,2000.0,1339.0404,30556.777,10356.017,3715.6992,4302.4805,0
20000.0,1,1,2,24.0,0,0,0,0,0,0,27103.951,24078.812,17535.182,16411.676,10313.003,14058.929,1500.0,1280.9758,341.2022,11.294849,147.2583,292.63724,0
250000.0,2,1,2,39.0,0,0,0,0,0,0,182600.56,173943.7,164867.72,111555.24,69114.62,54845.734,10000.0,6793.312,2000.0,2000.0,5715.343,1000.0,0
130000.0,2,2,1,24.0,0,0,0,2,0,0,124073.79,128766.96,127094.47,125621.22,91454.25,97106.81,6881.151,11069.351,0.0,3551.1758,3851.8884,3000.0,0
