Length,Width,Size,Conc,Conc1,Asym,M3Long,M3Trans,Alpha,Dist,class
51.11508,26.988356,2.3721032,0.56833786,0.3031345,-167.848,73.29426,-6.947646,6.905535,247.01146,h
48.873837,19.116158,2.9268713,0.6750034,0.30061534,0.3933872,45.268044,-9.461235,6.3053417,202.64293,g
80.11507,15.810981,2.5949,0.3830835,0.19248182,-43.316204,103.87684,-30.142218,61.25451,231.25002,h
12.937279,11.344538,2.5269947,0.46216697,0.3659159,-25.293495,29.035816,-138.86021,29.065256,206.85051,g
28.881855,20.175512,2.9294422,0.29871896,0.3685542,-8.295934,-79.58623,14.735434,12.385687,121.605774,g
82.32906,11.035502,2.9625988,0.12281424,0.23726712,-35.976486,38.628944,-22.374846,1.7088537,288.33923,g
24.741955,31.854748,2.321145,0.56454366,0.19974244,-23.857807,25.809801,7.3017216,72.27841,227.97043,h
91.6822,24.544743,2.8180606,0.25925863,0.11248434,-457.87244,19.930994,9.584411,29.141634,6.3917522,h
50.096237,18.194643,3.405176,0.13491563,0.13175735,-19.835516,21.60065,14.390095,0.19007863,63.849327,g
93.16865,10.857931,2.6787472,0.39781463,0.4463155,-28.801414,-75.775406,-3.8105085,1.372013,179.78932,h
31.712343,29.497316,2.9353878,0.5029347,0.17999825,31.758333,18.300627,5.723512,58.858795,148.60854,h
27.14814,16.505062,2.367348,0.5526983,0.28095847,-208.50598,10.040651,31.607378,20.276548,228.4861,g
28.637768,30.957726,2.6323407,0.65416634,0.29696476,-119.6175,-55.902443,15.961902,19.441124,169.34319,g
30.895008,20.606932,2.344652,0.4717598,0.16235016,5.729599,-39.18307,-19.22819,3.2143164,204.06926,h
66.70027,20.907309,2.4093256,0.27508822,0.18505272,0.24564187,-5.7082577,-4.6021585,76.29563,147.78612,g
42.305496,13.968906,2.6387172,0.3621023,0.3143279,44.298748,-24.389683,7.6562715,15.309089,83.7165,h
18.904634,9.364724,2.409041,0.43215585,0.35311502,3.5826883,73.77803,11.055081,3.8769646,230.44402,g
33.373684,15.730217,2.6097808,0.37154847,0.21426167,-9.065654,110.255684,11.418938,27.312258,148.25366,g
39.75222,16.708212,2.9305947,0.23804463,0.18310799,39.51911,-198.47534,20.804674,14.157101,255.89714,h
28.0073,15.393121,2.3872712,0.2273503,0.27492067,-312.50397,-39.99835,-128.78133,78.07283,181.07143,h
22.853928,9.502979,2.6361797,0.30250537,0.26936564,-73.53624,-84.644424,-205.8947,28.723406,166.78966,h
26.411247,16.324755,2.4571052,0.40881532,0.14316551,2.2344327,23.982258,-9.11918,62.373405,191.08507,g
20.891937,10.809853,2.3445795,0.43887946,0.23800313,34.57144,-12.602893,-11.587782,3.1834805,167.65811,g
54.914078,12.27672,3.077715,0.20699891,0.15828334,-3.0095558,-40.122562,-9.918326,33.560543,298.10745,h
90.51102,15.546391,2.7314293,0.36451125,0.16961475,8.136662,-75.03706,-28.696201,5.4646206,212.48131,h
35.95716,15.726489,2.330464,0.7427167,0.34929585,-7.4526577,56.6952,-10.231825,2.5815167,177.67636,g
58.45133,17.129436,2.9080687,0.25440836,0.09145461,11.37909,90.70143,34.761654,9.565732,85.22644,g
44.364223,23.599567,3.5836742,0.18630314,0.19742797,-220.49301,201.7178,27.05194,8.09288,110.50968,g
28.611446,18.020794,2.7789237,0.2773411,0.2980215,-118.67766,-42.807735,8.065699,4.527378,122.111084,g
26.298725,20.960047,2.1300452,0.4588861,0.2782181,36.62226,32.56474,41.028854,7.1061597,120.59877,h
42.14246,42.064087,2.7731373,0.11997955,0.08940867,-0.07191248,-19.176216,-15.730044,9.687504,248.93279,h
61.64122,13.050345,2.4526126,0.124664776,0.12170507,-13.123737,91.0434,-24.159897,22.779205,115.60803,g
37.78672,26.891956,2.94635,0.101840116,0.0134374155,-313.10458,18.47901,18.288404,50.339222,111.16488,h
22.031576,18.573378,2.452587,0.34504434,0.10044809,-81.05058,-3.2190166,-9.973645,15.770871,106.40512,g
19.869583,43.181004,3.0898242,0.21182661,0.20629549,-17.08983,-16.300104,-9.77051e-05,2.4589596,140.99516,g
20.30861,19.92458,2.7651756,0.3102658,0.48851922,34.243748,-36.2007,8.078123,86.62993,169.71288,h
47.046387,16.44211,2.8626761,0.27533555,0.27651343,-22.210144,101.9646,12.5623455,66.69321,171.91377,h
30.612728,26.891407,2.709199,0.14957567,0.17453428,-1.4743087,-14.09692,5.795054,89.92711,161.9585,h
68.62694,18.244751,2.4052365,0.25658992,0.28817427,34.831875,-21.468279,-20.223324,34.6207,180.39348,h
13.2420225,10.7058115,2.4987378,0.1260825,0.19215994,4.8970213,-20.32205,-13.863078,2.9000175,48.156796,g
122.47468,11.619536,2.6024244,0.40023115,0.021628495,-47.900055,1.0382249,-205.74913,67.30007,125.42039,h
24.257523,16.978554,2.6490588,0.7171896,0.11656447,28.770657,48.927395,13.493832,13.840201,96.34133,h
138.04977,14.08877,2.191778,0.32703152,0.1050168,-454.732,4.482151,57.777225,14.563777,141.56282,g
36.996906,31.553402,2.6682012,0.52509403,0.3998235,-199.23682,-14.044717,16.468538,3.2899132,27.060205,g
27.280958,24.541325,3.1133711,0.56509143,0.24909487,45.628567,2.346366,6.445735,34.069168,164.16417,g
94.487755,24.721508,2.7752187,0.2013422,0.07576044,-135.72833,-18.722582,12.353336,28.235235,164.0899,h
108.86781,22.643272,2.894585,0.21287316,0.089474276,-12.568024,187.39326,12.411433,88.78276,222.44298,h
45.000286,24.281355,3.1108336,0.29977965,0.14144796,-155.49876,-8.080133,31.83409,14.379105,122.451584,h
32.01079,15.51538,2.2602906,0.47155744,0.21598774,-70.58126,69.70616,28.227001,7.01869,150.61119,g
33.00709,21.734007,2.31956,0.20676453,0.175791,9.627981,-103.08958,-14.665969,4.008514,139.5756,h
23.497894,4.905765,2.0459542,0.61365485,0.3847564,70.59342,-18.103714,-13.225032,1.1792933,277.22382,g
67.94337,19.013103,3.3606057,0.18554175,0.102487236,1.5220703,15.107784,-40.504333,2.932602,191.96765,h
12.881803,10.431797,2.2591681,0.5591071,0.28505564,36.30841,74.411606,41.35212,86.22476,143.94897,g
49.99255,31.55448,3.1589317,0.45358706,0.25081095,13.834455,-19.065746,10.972067,73.70601,222.03145,h
24.451633,27.059883,2.7714312,0.12313281,0.18410844,24.673933,-23.981342,6.560484,54.46327,121.768936,h
13.14386,10.886529,2.78974,0.2755351,0.3070026,-407.33975,11.782275,7.515402,63.72255,231.10164,g
25.959103,17.408415,3.0371287,0.19210362,0.20519087,-28.209755,-51.735096,-11.3377905,59.84328,181.01361,g
52.905823,20.232695,2.6056123,0.4169147,0.37948057,-438.17725,23.841629,21.97124,6.148615,177.41365,h
46.25765,12.893348,2.9281125,0.69195735,0.27432102,14.501737,26.838837,-20.043491,17.47279,238.35942,g
42.99689,16.028885,2.62525,0.7187235,0.18739793,573.7881,72.873116,4.1675043,56.04346,241.05162,g
60.890198,28.550331,3.4835234,0.2229138,0.08469801,-13.037953,34.135773,5.579376,6.7609396,257.60355,h
23.947765,15.662493,2.8568053,0.4397716,0.19204342,15.304619,-31.787277,54.457474,28.991127,222.80402,h
33.07796,17.857552,2.36442,0.49104694,0.15722597,15.523725,126.034775,-60.314865,78.63911,282.86157,h
41.264023,15.540964,2.5836084,0.38426816,0.053464025,-193.21712,48.176773,-10.614434,21.009521,192.27103,h
70.25963,19.53091,2.3915503,0.288289,0.2553554,29.299324,212.87878,29.366798,25.272402,234.01802,g
20.416496,19.559816,2.2667007,0.23335111,0.1359307,121.57956,5.9727807,7.5920506,4.223395,206.777,g
27.398224,30.031403,2.6275012,0.50262654,0.14617886,5.3107777,54.07698,9.605283,40.592567,203.38408,g
21.311016,21.155334,2.1613338,0.6054513,0.2871557,12.844614,65.28568,5.8931603,0.72923845,147.8332,g
25.635832,9.729932,2.3290727,0.54805654,0.2491621,49.669327,-11.440746,20.560371,71.79974,131.41019,g
29.434113,12.381048,2.4353497,0.3555201,0.13504693,575.2407,-27.16691,2.4639456,8.147752,242.96745,h
19.991943,16.18168,2.5812802,0.7455207,0.30646724,18.291733,14.5196,-12.5978365,60.44898,222.1819,h
37.101418,10.683416,3.461472,0.24055095,0.12947702,67.99279,-26.87135,-3.289199,4.43763,68.26879,h
82.04043,6.7232027,2.9837508,0.31565133,0.122558825,20.05784,105.68696,5.634255,14.334859,70.51164,g
24.47399,9.010154,2.2509975,0.31610665,0.35818905,19.882942,-9.162876,-7.824727,3.0922906,159.39458,h
24.168943,25.00608,2.578312,0.17629094,0.19687288,32.43269,34.82716,10.919174,4.1256757,174.73492,g
55.34511,6.6709757,2.5285172,0.33504823,0.28286546,33.88132,25.22837,9.771921,16.976702,320.94464,h
43.549026,9.765999,2.539179,0.50317943,0.18237643,449.9923,3.0251226,3.4722998,0.7575887,176.4299,g
19.848269,11.765799,2.4267402,0.5553118,0.22556955,19.36125,27.395504,11.4316845,7.4233584,159.98457,h
69.43752,17.602137,2.8793228,0.27326694,0.27411205,-31.571442,70.77682,-14.423642,10.058376,237.17865,h
18.676922,19.757294,2.5243926,0.41781175,0.13130212,-5.6030016,-14.843028,6.14233,37.624622,177.635,g
23.434975,19.145254,2.6478636,0.18915503,0.21568573,-65.458725,-5.871361,7.995257,42.141415,246.79706,h
24.541016,10.105572,2.2946126,0.28965756,0.2856666,-156.57387,16.964859,-18.502277,14.482818,46.59965,g
19.90151,13.382498,2.3989134,0.35017946,0.3189482,6.337835,212.74979,16.98961,1.942493,288.72357,h
26.234575,21.377792,2.994063,0.34787652,0.13650319,19.680176,13.457868,-205.8947,8.538964,156.0373,g
31.107822,24.309229,3.2755497,0.20671897,0.27319804,-33.209515,94.469795,17.21318,57.492065,229.44295,h
62.771328,86.28754,3.077828,0.6136278,0.1512866,-388.51434,14.365305,-16.9052,58.591465,274.31165,h
61.089672,14.051101,2.6470447,0.37175032,0.17229028,-50.15746,-19.629719,7.9917145,10.027442,226.45546,h
19.122417,25.213678,3.3057215,0.2948341,0.27846342,-17.445913,-17.624817,-8.669094,78.54746,286.23245,h
35.029263,18.796593,3.0640957,0.42808005,0.3089131,-105.81532,24.081755,35.995235,17.920727,252.28072,g
26.382996,19.748098,2.789498,0.36947975,0.18641146,-6.372602,14.8241,11.83108,34.51179,158.63911,h
31.207264,10.642283,2.6649497,0.7086448,0.32288495,28.9293,62.124115,11.163012,1.6371448,181.43701,h
33.243614,17.067541,2.3534455,0.20735352,0.21366066,-20.210793,-152.72913,13.714719,7.648708,169.09067,h
23.90776,17.1552,2.0959826,0.18664144,0.41937637,-14.2304945,18.808437,-21.967897,17.547007,251.68839,h
70.484795,16.685917,2.1413372,0.58875775,0.3585524,47.1612,64.82956,-5.152576,16.454699,207.69954,h
33.292664,15.980687,2.3159342,0.58435774,0.35543573,-114.57561,60.656574,12.511072,0.47688028,133.45766,g
29.933538,11.0207,2.202585,0.5505241,0.4314857,-276.58505,-16.61475,11.862014,31.716469,132.5979,h
22.273483,8.283867,2.686547,0.3822483,0.07347919,-41.609543,71.190094,11.46523,11.239158,131.24527,g
42.069645,21.64779,2.7637777,0.18632454,0.1690791,39.810246,50.88148,-52.00663,5.5596056,88.408966,h
61.15996,16.63746,3.2026691,0.39028975,0.22396903,10.08645,10.683625,-17.519133,89.882,225.6612,h
56.580463,14.69366,2.5247092,0.43640196,0.13308275,41.54466,-193.74799,-13.064795,20.38446,289.24423,h
30.46943,13.765392,2.752384,0.19634548,0.1500439,11.524174,21.543938,10.909898,15.624123,246.06664,h
23.801771,10.512017,2.487594,0.35883853,0.18723333,567.90094,18.402994,11.085321,20.948704,139.9763,h
20.708788,15.088956,2.2296114,0.5097376,0.14670344,-33.208977,-16.593788,14.5673065,34.436485,83.58517,h
28.66998,23.278448,2.5953414,0.44932783,0.14994165,-87.24232,73.0958,18.867853,29.325663,141.80537,h
25.250671,10.040021,2.8217998,0.744771,0.15493324,10.131898,103.56166,-3.89386,85.8751,211.85342,h
