Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
0.0,0.0,0.0,0.0,4.0,129.67395,0.0,0.06666667,0.0,0.0,Nov,2,2,3,3,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,2.0,0.0,0.2,0.2,0.0,0.0,June,2,2,6,13,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,6.0,57.069134,0.043688856,0.08147766,0.0,0.0,Mar,2,2,5,3,Returning_Visitor,False,False
3.0,43.691616,0.0,0.0,31.0,1273.9879,0.0,0.013325171,0.0,0.0,May,2,5,9,5,New_Visitor,False,True
0.0,0.0,0.0,0.0,2.0,46.91328,0.0,0.09472779,0.0,0.0,Oct,2,5,9,1,Returning_Visitor,False,False
2.0,145.6566,0.0,0.0,12.0,222.04776,0.0,0.0039942795,0.0,0.0,Mar,3,2,4,1,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,20.0,304.62204,0.03333333,0.06666667,0.0,0.6,May,3,2,1,4,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,8.0,107.71371,0.0,0.05,0.0,0.0,Nov,2,2,3,1,Returning_Visitor,True,False
1.0,47.33094,0.0,0.0,16.0,227.61272,0.0,0.008020677,0.0,0.0,May,3,2,1,3,New_Visitor,False,False
3.0,63.691547,0.0,0.0,19.0,858.4243,0.0,0.0091034705,0.0,0.0,May,2,2,1,2,Returning_Visitor,False,False
4.0,156.67192,0.0,0.0,80.40387,2653.4443,0.0,0.0,0.0,0.0,May,2,4,7,4,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.0,Nov,3,2,7,1,Returning_Visitor,False,False
6.0,67.19576,0.0,0.0,14.78966,150.25163,0.0,0.010008148,0.0,0.6,May,2,2,2,4,New_Visitor,False,False
1.6288606,278.1474,0.0,0.0,6.0,645.7858,0.0,0.00650787,0.0,0.0,Mar,3,2,2,3,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,6.0,223.24016,0.0,0.02,0.0,1.0,May,3,2,2,1,Returning_Visitor,True,False
1.0,9.476509,0.0,0.0,17.78809,642.4414,0.0,0.012516801,0.0,0.0,Mar,2,2,2,2,Returning_Visitor,False,False
1.0,28.467173,0.0,0.0,18.0,345.88934,0.0,0.0318054,0.0,0.0,Dec,2,2,1,2,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,2.0,0.0,0.2,0.2,0.0,0.0,June,2,5,1,3,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,33.0,1898.8727,0.014853657,0.052624904,0.0,0.0,May,2,2,1,1,Returning_Visitor,False,False
1.0,28.49618,0.0,0.0,46.108204,1276.4459,0.0,0.0040270984,14.015889,0.0,Nov,2,2,9,20,Returning_Visitor,False,True
0.0,0.0,0.0,0.0,20.0,992.7238,0.04,0.06334779,0.0,0.2,May,3,2,8,3,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,30.0,2001.2234,0.022222223,0.05,0.0,0.0,Nov,2,1,3,3,Returning_Visitor,False,False
